Character Number	GeneID	Genename	EQ IC	Entity IC	Evidence
1	ZDB-GENE-041001-208	mep1a.2	0.44	0.28	N/A
1	ZDB-GENE-050320-92	cdh6	0.44	0.28	N/A
1	ZDB-GENE-060610-1	crb2b	0.44	0.28	N/A
1	ZDB-GENE-061212-4	plce1	0.44	0.28	N/A
1	ZDB-GENE-070720-16	ralgps1	0.44	0.28	N/A
1	ZDB-GENE-080204-126	exoc5	0.44	0.28	N/A
1	ZDB-GENE-110110-3	bicc2	0.44	0.28	N/A
1	ZDB-GENE-990415-169	ntn1a	0.44	0.28	N/A
1	ZDB-GENE-000427-7	tbx20	0.44	0.26	N/A
1	ZDB-GENE-000705-1	kdrl	0.44	0.26	N/A
1	ZDB-GENE-030131-3782	ctr9	0.44	0.26	N/A
1	ZDB-GENE-030131-9807	colec12	0.44	0.26	N/A
1	ZDB-GENE-030421-3	plcg1	0.44	0.26	N/A
1	ZDB-GENE-030616-579	ptf1a	0.44	0.26	N/A
1	ZDB-GENE-050420-319	wt1b	0.44	0.26	N/A
1	ZDB-GENE-051108-1	hmgcrb	0.44	0.26	N/A
2	ZDB-GENE-030131-3782	ctr9	0.44	0.26	N/A
2	ZDB-GENE-050913-90	aplnrb	0.44	0.26	N/A
2	ZDB-GENE-070622-2	ghrl	0.44	0.26	N/A
2	ZDB-GENE-080204-6	slc2a10	0.44	0.26	N/A
1	ZDB-GENE-030219-146	bmper	0.44	0.25	N/A
1	ZDB-GENE-070117-2008	cst	0.44	0.25	N/A
2	ZDB-GENE-030131-8663	rplp1	0.44	0.25	N/A
4	ZDB-GENE-030109-2	ruvbl1	0.44	0.25	N/A
4	ZDB-GENE-030131-2721	add3a	0.44	0.25	N/A
4	ZDB-GENE-030131-3238	pabpc1a	0.44	0.25	N/A
4	ZDB-GENE-030131-3776	ptena	0.44	0.25	N/A
4	ZDB-GENE-030131-6959	rapgef2	0.44	0.25	N/A
4	ZDB-GENE-030131-7949	supt6h	0.44	0.25	N/A
4	ZDB-GENE-040426-1486	rabgef1	0.44	0.25	N/A
4	ZDB-GENE-040426-2172	junba	0.44	0.25	N/A
4	ZDB-GENE-040520-4	actc1a	0.44	0.25	N/A
4	ZDB-GENE-040628-1	rbm24a	0.44	0.25	N/A
4	ZDB-GENE-041111-243	cep290	0.44	0.25	N/A
4	ZDB-GENE-050320-92	cdh6	0.44	0.25	N/A
4	ZDB-GENE-050420-319	wt1b	0.44	0.25	N/A
4	ZDB-GENE-050506-132	fermt2	0.44	0.25	N/A
4	ZDB-GENE-060510-3	brca2	0.44	0.25	N/A
4	ZDB-GENE-060610-1	crb2b	0.44	0.25	N/A
4	ZDB-GENE-061212-4	plce1	0.44	0.25	N/A
4	ZDB-GENE-070117-2008	cst	0.44	0.25	N/A
4	ZDB-GENE-070117-2162	wlk	0.44	0.25	N/A
4	ZDB-GENE-070117-2247	pap	0.44	0.25	N/A
4	ZDB-GENE-070604-1	arhgef11	0.44	0.25	N/A
4	ZDB-GENE-070720-16	ralgps1	0.44	0.25	N/A
4	ZDB-GENE-080204-126	exoc5	0.44	0.25	N/A
4	ZDB-GENE-090421-1	ankhd1	0.44	0.25	N/A
4	ZDB-GENE-090508-16	azi1	0.44	0.25	N/A
4	ZDB-GENE-100217-1	dync2h1	0.44	0.25	N/A
4	ZDB-GENE-110110-3	bicc2	0.44	0.25	N/A
4	ZDB-GENE-120730-1	abraa	0.44	0.25	N/A
4	ZDB-GENE-980526-440	cbfb	0.44	0.25	N/A
4	ZDB-GENE-990415-163	mef2aa	0.44	0.25	N/A
1	ZDB-GENE-010803-2	spry4	0.44	0.24	N/A
1	ZDB-GENE-041011-2	lin7c	0.44	0.24	N/A
1	ZDB-GENE-990415-200	pax6a	0.44	0.24	N/A
4	ZDB-GENE-020509-2	gbx2	0.44	0.24	N/A
4	ZDB-GENE-030131-6327	slc43a1a	0.44	0.24	N/A
4	ZDB-GENE-070209-277	ryk	0.44	0.24	N/A
4	ZDB-GENE-990415-200	pax6a	0.44	0.24	N/A
1	ZDB-GENE-021231-3	wdr43	0.44	0.23	N/A
1	ZDB-GENE-030131-9770	amotl2a	0.44	0.22	N/A
1	ZDB-GENE-041213-1	unc5b	0.44	0.22	N/A
1	ZDB-GENE-051031-1	itga2b	0.44	0.22	N/A
1	ZDB-GENE-070117-13	glw	0.44	0.22	N/A
1	ZDB-GENE-070306-5	unm_b896	0.44	0.22	N/A
1	ZDB-GENE-070511-1	prkcz	0.44	0.22	N/A
1	ZDB-GENE-080317-5	int	0.44	0.22	N/A
1	ZDB-GENE-090506-7	ccbe1	0.44	0.22	N/A
1	ZDB-GENE-980526-326	flt4	0.44	0.22	N/A
1	ZDB-GENE-980526-423	foxa3	0.44	0.22	N/A
1	ZDB-GENE-990415-62	ephb4a	0.44	0.22	N/A
1	ZDB-GENE-990415-67	efnb2a	0.44	0.22	N/A
2	ZDB-GENE-980526-423	foxa3	0.44	0.22	N/A
2	ZDB-GENE-030327-7	sepn1	0.44	0.19	N/A
1	ZDB-GENE-030131-2207	zc4h2	0.44	0.18	N/A
1	ZDB-GENE-030131-3777	tardbp	0.44	0.18	N/A
1	ZDB-GENE-030131-8003	atl1	0.44	0.18	N/A
1	ZDB-GENE-070117-52	asm	0.44	0.18	N/A
2	ZDB-GENE-070117-2040	enz	0.44	0.18	N/A
4	ZDB-GENE-030131-2207	zc4h2	0.44	0.18	N/A
4	ZDB-GENE-030131-3777	tardbp	0.44	0.18	N/A
4	ZDB-GENE-030131-8003	atl1	0.44	0.18	N/A
2	ZDB-GENE-041011-2	lin7c	0.44	0.15	N/A
4	ZDB-GENE-041011-2	lin7c	0.44	0.15	N/A
1	ZDB-GENE-101109-1	tnfsf18	0.44	0.12	N/A
1	ZDB-GENE-040625-109	eaf1	0.44	0.1	N/A
1	ZDB-GENE-040625-179	eaf2	0.44	0.1	N/A
1	ZDB-GENE-040801-39	desi2	0.44	0.1	N/A
2	ZDB-GENE-010129-1	klf4b	0.44	0.1	N/A
1	ZDB-GENE-030131-7038	spry2	0.44	0.07	N/A
2	ZDB-GENE-030826-29	pak1	0.43	0.43	N/A
2	ZDB-GENE-061215-37	ids	0.43	0.43	N/A
2	ZDB-GENE-070117-1615	unm_t31201	0.43	0.43	N/A
2	ZDB-GENE-070117-2492	brk	0.43	0.43	N/A
4	ZDB-GENE-070117-2016	deg	0.43	0.43	N/A
4	ZDB-GENE-070117-2102	hai	0.43	0.43	N/A
4	ZDB-GENE-070117-223	unm_tg212	0.43	0.43	N/A
4	ZDB-GENE-070117-2318	roh	0.43	0.43	N/A
4	ZDB-GENE-070117-2425	tbo	0.43	0.43	N/A
4	ZDB-GENE-070117-339	unm_tj214	0.43	0.43	N/A
4	ZDB-GENE-070117-508	unm_tn17	0.43	0.43	N/A
4	ZDB-GENE-070117-514	unm_to274	0.43	0.43	N/A
2	ZDB-GENE-980526-406	otx2	0.43	0.42	N/A
4	ZDB-GENE-000412-1	bdnf	0.43	0.39	N/A
4	ZDB-GENE-990415-131	htt	0.43	0.39	N/A
2	ZDB-GENE-030131-994	rad21a	0.43	0.38	N/A
2	ZDB-GENE-040426-1413	bmp5	0.43	0.38	N/A
2	ZDB-GENE-070117-142	unm_tc233b	0.43	0.38	N/A
2	ZDB-GENE-070117-2446	uhi	0.43	0.38	N/A
2	ZDB-GENE-071206-1	radil	0.43	0.38	N/A
1	ZDB-GENE-020515-1	id3	0.43	0.36	N/A
1	ZDB-GENE-030131-9092	rps15	0.43	0.36	N/A
1	ZDB-GENE-060825-45	atp7a	0.43	0.36	N/A
1	ZDB-GENE-061108-2	cylda	0.43	0.36	N/A
1	ZDB-GENE-090603-2	mgo	0.43	0.36	N/A
1	ZDB-GENE-980526-485	pou5f1	0.43	0.36	N/A
2	ZDB-GENE-070117-2474	yob	0.43	0.36	N/A
2	ZDB-GENE-070117-2415	tan	0.43	0.34	N/A
1	ZDB-GENE-080102-4	ptpn21	0.43	0.33	N/A
1	ZDB-GENE-100707-1	pkd1a	0.43	0.31	N/A
2	ZDB-GENE-031125-3	rbm19	0.43	0.31	N/A
4	ZDB-GENE-001212-1	atp1a1	0.43	0.31	N/A
4	ZDB-GENE-100707-1	pkd1a	0.43	0.31	N/A
2	ZDB-GENE-070117-347	unm_tl205	0.43	0.3	N/A
2	ZDB-GENE-070117-404	unm_td207	0.43	0.3	N/A
2	ZDB-GENE-070117-405	unm_tu259	0.43	0.3	N/A
2	ZDB-GENE-051102-1	nphs1	0.43	0.28	N/A
2	ZDB-GENE-051102-2	nphs2	0.43	0.28	N/A
2	ZDB-GENE-070117-2228	nor	0.43	0.28	N/A
2	ZDB-GENE-070117-2260	pie	0.43	0.28	N/A
2	ZDB-GENE-070117-2405	sst	0.43	0.28	N/A
1	ZDB-GENE-111014-1	klf4a	0.43	0.27	N/A
1	ZDB-GENE-030131-1731	lgi1a	0.43	0.26	N/A
1	ZDB-GENE-030131-9582	mbnl2	0.43	0.26	N/A
1	ZDB-GENE-030131-966	usp39	0.43	0.26	N/A
1	ZDB-GENE-040426-850	josd2	0.43	0.26	N/A
2	ZDB-GENE-030113-2	ttna	0.43	0.26	N/A
2	ZDB-GENE-030131-1731	lgi1a	0.43	0.26	N/A
2	ZDB-GENE-030131-4411	parvb	0.43	0.26	N/A
2	ZDB-GENE-030421-3	plcg1	0.43	0.26	N/A
2	ZDB-GENE-040628-1	rbm24a	0.43	0.26	N/A
2	ZDB-GENE-041111-216	neb	0.43	0.26	N/A
2	ZDB-GENE-050419-75	plekha7a	0.43	0.26	N/A
2	ZDB-GENE-050506-132	fermt2	0.43	0.26	N/A
2	ZDB-GENE-051030-42	eif3hb	0.43	0.26	N/A
2	ZDB-GENE-070604-1	arhgef11	0.43	0.26	N/A
2	ZDB-GENE-980526-260	gata2a	0.43	0.26	N/A
2	ZDB-GENE-030131-2721	add3a	0.43	0.25	N/A
2	ZDB-GENE-030131-5930	adnp2b	0.43	0.25	N/A
2	ZDB-GENE-030131-6385	adnpb	0.43	0.25	N/A
2	ZDB-GENE-030131-8301	ptprja	0.43	0.25	N/A
2	ZDB-GENE-030425-1	bin1	0.43	0.25	N/A
2	ZDB-GENE-030616-47	ptenb	0.43	0.25	N/A
2	ZDB-GENE-061215-112	adnpa	0.43	0.25	N/A
2	ZDB-GENE-070117-2086	gin	0.43	0.25	N/A
2	ZDB-GENE-070117-2183	loc	0.43	0.25	N/A
2	ZDB-GENE-070117-2245	bem	0.43	0.25	N/A
2	ZDB-GENE-070117-2269	ppd	0.43	0.25	N/A
2	ZDB-GENE-070117-2270	pip	0.43	0.25	N/A
2	ZDB-GENE-070117-2272	pil	0.43	0.25	N/A
2	ZDB-GENE-070117-2293	quh	0.43	0.25	N/A
2	ZDB-GENE-070117-2315	rhe	0.43	0.25	N/A
2	ZDB-GENE-070117-2357	sis	0.43	0.25	N/A
2	ZDB-GENE-070117-2407	str	0.43	0.25	N/A
2	ZDB-GENE-070117-2464	whz	0.43	0.25	N/A
2	ZDB-GENE-070117-724	ddl	0.43	0.25	N/A
2	ZDB-GENE-090929-154	mir143-2	0.43	0.25	N/A
4	ZDB-GENE-020228-1	spns1	0.43	0.25	N/A
4	ZDB-GENE-030131-5935	pho	0.43	0.25	N/A
4	ZDB-GENE-030131-9810	tomm22	0.43	0.25	N/A
4	ZDB-GENE-040426-1600	mlh1	0.43	0.25	N/A
4	ZDB-GENE-040426-770	prkcsh	0.43	0.25	N/A
4	ZDB-GENE-051030-42	eif3hb	0.43	0.25	N/A
4	ZDB-GENE-051113-60	spna2	0.43	0.25	N/A
4	ZDB-GENE-070117-1027	unm_t30449	0.43	0.25	N/A
4	ZDB-GENE-070117-1135	unm_t30581	0.43	0.25	N/A
4	ZDB-GENE-070117-1205	unm_t30313	0.43	0.25	N/A
4	ZDB-GENE-070117-1420	unm_t30372	0.43	0.25	N/A
4	ZDB-GENE-070117-1477	unm_t30582	0.43	0.25	N/A
4	ZDB-GENE-070117-1487	unm_t30487	0.43	0.25	N/A
4	ZDB-GENE-070117-2081	gam	0.43	0.25	N/A
4	ZDB-GENE-070117-2185	lumpazi	0.43	0.25	N/A
4	ZDB-GENE-070117-2432	tip	0.43	0.25	N/A
4	ZDB-GENE-070117-2436	trp	0.43	0.25	N/A
4	ZDB-GENE-090211-6	psm6	0.43	0.25	N/A
4	ZDB-GENE-090211-7	psm7	0.43	0.25	N/A
4	ZDB-GENE-110208-1	slc16a6a	0.43	0.25	N/A
1	ZDB-GENE-020419-25	rpl24	0.43	0.24	N/A
1	ZDB-GENE-070809-2	doy	0.43	0.24	N/A
1	ZDB-GENE-000330-9	psen2	0.43	0.23	N/A
1	ZDB-GENE-041210-358	gak	0.43	0.23	N/A
1	ZDB-GENE-070117-133	unm_m590	0.43	0.23	N/A
1	ZDB-GENE-070117-165	unm_m569	0.43	0.23	N/A
1	ZDB-GENE-070117-2006	cud	0.43	0.23	N/A
1	ZDB-GENE-070117-2031	egl	0.43	0.23	N/A
1	ZDB-GENE-070117-2041	end	0.43	0.23	N/A
1	ZDB-GENE-070117-2042	ent	0.43	0.23	N/A
1	ZDB-GENE-070117-2080	gal	0.43	0.23	N/A
1	ZDB-GENE-070117-2098	apo	0.43	0.23	N/A
1	ZDB-GENE-070117-2101	guw	0.43	0.23	N/A
1	ZDB-GENE-070117-2128	hub	0.43	0.23	N/A
1	ZDB-GENE-070117-2134	itr	0.43	0.23	N/A
1	ZDB-GENE-070117-2144	kep	0.43	0.23	N/A
1	ZDB-GENE-070117-2189	maj	0.43	0.23	N/A
1	ZDB-GENE-070117-2221	nel	0.43	0.23	N/A
1	ZDB-GENE-070117-2246	ptw	0.43	0.23	N/A
1	ZDB-GENE-070117-2250	paf	0.43	0.23	N/A
1	ZDB-GENE-070117-227	unm_m383	0.43	0.23	N/A
1	ZDB-GENE-070117-232	unm_m613	0.43	0.23	N/A
1	ZDB-GENE-070117-2336	sat	0.43	0.23	N/A
1	ZDB-GENE-070117-2339	bid	0.43	0.23	N/A
1	ZDB-GENE-070117-2374	solr	0.43	0.23	N/A
1	ZDB-GENE-070117-2376	spw	0.43	0.23	N/A
1	ZDB-GENE-070117-2377	spm	0.43	0.23	N/A
1	ZDB-GENE-070117-2381	spz	0.43	0.23	N/A
1	ZDB-GENE-070117-2446	uhi	0.43	0.23	N/A
1	ZDB-GENE-070117-2453	vik	0.43	0.23	N/A
1	ZDB-GENE-070117-2458	voy	0.43	0.23	N/A
1	ZDB-GENE-070117-2479	yur	0.43	0.23	N/A
1	ZDB-GENE-070117-2480	zez	0.43	0.23	N/A
1	ZDB-GENE-070117-276	unm_m685	0.43	0.23	N/A
1	ZDB-GENE-070117-315	unm_m514	0.43	0.23	N/A
1	ZDB-GENE-070117-466	unm_m488	0.43	0.23	N/A
1	ZDB-GENE-070117-642	unm_m513	0.43	0.23	N/A
1	ZDB-GENE-991119-4	psen1	0.43	0.23	N/A
2	ZDB-GENE-070117-133	unm_m590	0.43	0.23	N/A
2	ZDB-GENE-070117-165	unm_m569	0.43	0.23	N/A
2	ZDB-GENE-070117-2006	cud	0.43	0.23	N/A
2	ZDB-GENE-070117-2031	egl	0.43	0.23	N/A
2	ZDB-GENE-070117-2041	end	0.43	0.23	N/A
2	ZDB-GENE-070117-2042	ent	0.43	0.23	N/A
2	ZDB-GENE-070117-2080	gal	0.43	0.23	N/A
2	ZDB-GENE-070117-2098	apo	0.43	0.23	N/A
2	ZDB-GENE-070117-2101	guw	0.43	0.23	N/A
2	ZDB-GENE-070117-2128	hub	0.43	0.23	N/A
2	ZDB-GENE-070117-2144	kep	0.43	0.23	N/A
2	ZDB-GENE-070117-2189	maj	0.43	0.23	N/A
2	ZDB-GENE-070117-2221	nel	0.43	0.23	N/A
2	ZDB-GENE-070117-227	unm_m383	0.43	0.23	N/A
2	ZDB-GENE-070117-232	unm_m613	0.43	0.23	N/A
2	ZDB-GENE-070117-2336	sat	0.43	0.23	N/A
2	ZDB-GENE-070117-2374	solr	0.43	0.23	N/A
2	ZDB-GENE-070117-2376	spw	0.43	0.23	N/A
2	ZDB-GENE-070117-2377	spm	0.43	0.23	N/A
2	ZDB-GENE-070117-2381	spz	0.43	0.23	N/A
2	ZDB-GENE-070117-2453	vik	0.43	0.23	N/A
2	ZDB-GENE-070117-2458	voy	0.43	0.23	N/A
2	ZDB-GENE-070117-2479	yur	0.43	0.23	N/A
2	ZDB-GENE-070117-276	unm_m685	0.43	0.23	N/A
2	ZDB-GENE-070117-315	unm_m514	0.43	0.23	N/A
2	ZDB-GENE-070117-466	unm_m488	0.43	0.23	N/A
2	ZDB-GENE-070117-642	unm_m513	0.43	0.23	N/A
1	ZDB-GENE-030131-5142	usp3	0.43	0.22	N/A
1	ZDB-GENE-040426-770	prkcsh	0.43	0.22	N/A
1	ZDB-GENE-070117-1105	unm_t30349	0.43	0.22	N/A
1	ZDB-GENE-070117-1106	unm_t30350	0.43	0.22	N/A
1	ZDB-GENE-070117-1125	unm_t30351	0.43	0.22	N/A
1	ZDB-GENE-070117-1133	unm_t30546	0.43	0.22	N/A
1	ZDB-GENE-070117-1161	unm_t30543	0.43	0.22	N/A
1	ZDB-GENE-070117-1162	unm_t30545	0.43	0.22	N/A
1	ZDB-GENE-070117-1447	unm_t30645	0.43	0.22	N/A
1	ZDB-GENE-070117-1502	unm_t30587	0.43	0.22	N/A
1	ZDB-GENE-070117-1506	unm_t30715	0.43	0.22	N/A
1	ZDB-GENE-081104-81	rpgrip1l	0.43	0.22	N/A
1	ZDB-GENE-990415-47	dld	0.43	0.22	N/A
1	ZDB-GENE-990603-5	melk	0.43	0.21	N/A
4	ZDB-GENE-030131-1731	lgi1a	0.43	0.21	N/A
1	ZDB-GENE-020228-1	spns1	0.43	0.2	N/A
1	ZDB-GENE-030131-9810	tomm22	0.43	0.2	N/A
1	ZDB-GENE-051113-60	spna2	0.43	0.2	N/A
1	ZDB-GENE-070117-1135	unm_t30581	0.43	0.2	N/A
1	ZDB-GENE-070117-1477	unm_t30582	0.43	0.2	N/A
1	ZDB-GENE-070117-1487	unm_t30487	0.43	0.2	N/A
1	ZDB-GENE-070117-2081	gam	0.43	0.2	N/A
1	ZDB-GENE-070117-2185	lumpazi	0.43	0.2	N/A
1	ZDB-GENE-070117-2432	tip	0.43	0.2	N/A
1	ZDB-GENE-070117-2436	trp	0.43	0.2	N/A
1	ZDB-GENE-090211-6	psm6	0.43	0.2	N/A
1	ZDB-GENE-090211-7	psm7	0.43	0.2	N/A
1	ZDB-GENE-110208-1	slc16a6a	0.43	0.2	N/A
4	ZDB-GENE-040930-8	c21orf59	0.43	0.2	N/A
4	ZDB-GENE-070117-1105	unm_t30349	0.43	0.2	N/A
4	ZDB-GENE-070117-1106	unm_t30350	0.43	0.2	N/A
4	ZDB-GENE-070117-1125	unm_t30351	0.43	0.2	N/A
4	ZDB-GENE-070117-1133	unm_t30546	0.43	0.2	N/A
4	ZDB-GENE-070117-1161	unm_t30543	0.43	0.2	N/A
4	ZDB-GENE-070117-1162	unm_t30545	0.43	0.2	N/A
4	ZDB-GENE-070117-1447	unm_t30645	0.43	0.2	N/A
4	ZDB-GENE-070117-1502	unm_t30587	0.43	0.2	N/A
4	ZDB-GENE-070117-1506	unm_t30715	0.43	0.2	N/A
4	ZDB-GENE-070809-2	doy	0.43	0.2	N/A
1	ZDB-GENE-090814-1	tcf4	0.43	0.19	N/A
2	ZDB-GENE-070117-2246	ptw	0.43	0.18	N/A
2	ZDB-GENE-070117-2480	zez	0.43	0.18	N/A
2	ZDB-GENE-070117-594	unm_th05d	0.43	0.18	N/A
4	ZDB-GENE-070117-2446	uhi	0.43	0.18	N/A
4	ZDB-GENE-070117-2246	ptw	0.43	0.17	N/A
4	ZDB-GENE-070117-2480	zez	0.43	0.17	N/A
2	ZDB-GENE-070117-2134	itr	0.43	0.15	N/A
2	ZDB-GENE-070117-2250	paf	0.43	0.15	N/A
4	ZDB-GENE-070117-165	unm_m569	0.43	0.15	N/A
4	ZDB-GENE-070117-2041	end	0.43	0.15	N/A
4	ZDB-GENE-070117-2336	sat	0.43	0.15	N/A
1	ZDB-GENE-030131-7859	jun	0.43	0.12	N/A
1	ZDB-GENE-040623-3	dact1	0.43	0.12	N/A
1	ZDB-GENE-040812-2	caprin2	0.43	0.12	N/A
1	ZDB-GENE-070117-1022	unm_t30222	0.43	0.12	N/A
4	ZDB-GENE-070117-133	unm_m590	0.43	0.12	N/A
4	ZDB-GENE-070117-2006	cud	0.43	0.12	N/A
4	ZDB-GENE-070117-2031	egl	0.43	0.12	N/A
4	ZDB-GENE-070117-2042	ent	0.43	0.12	N/A
4	ZDB-GENE-070117-2080	gal	0.43	0.12	N/A
4	ZDB-GENE-070117-2098	apo	0.43	0.12	N/A
4	ZDB-GENE-070117-2101	guw	0.43	0.12	N/A
4	ZDB-GENE-070117-2128	hub	0.43	0.12	N/A
4	ZDB-GENE-070117-2134	itr	0.43	0.12	N/A
4	ZDB-GENE-070117-2144	kep	0.43	0.12	N/A
4	ZDB-GENE-070117-2189	maj	0.43	0.12	N/A
4	ZDB-GENE-070117-2221	nel	0.43	0.12	N/A
4	ZDB-GENE-070117-2250	paf	0.43	0.12	N/A
4	ZDB-GENE-070117-227	unm_m383	0.43	0.12	N/A
4	ZDB-GENE-070117-232	unm_m613	0.43	0.12	N/A
4	ZDB-GENE-070117-2374	solr	0.43	0.12	N/A
4	ZDB-GENE-070117-2376	spw	0.43	0.12	N/A
4	ZDB-GENE-070117-2377	spm	0.43	0.12	N/A
4	ZDB-GENE-070117-2381	spz	0.43	0.12	N/A
4	ZDB-GENE-070117-2453	vik	0.43	0.12	N/A
4	ZDB-GENE-070117-2458	voy	0.43	0.12	N/A
4	ZDB-GENE-070117-2479	yur	0.43	0.12	N/A
4	ZDB-GENE-070117-276	unm_m685	0.43	0.12	N/A
4	ZDB-GENE-070117-315	unm_m514	0.43	0.12	N/A
4	ZDB-GENE-070117-466	unm_m488	0.43	0.12	N/A
4	ZDB-GENE-070117-642	unm_m513	0.43	0.12	N/A
2	ZDB-GENE-070117-1109	unm_t30636	0.43	0.1	N/A
1	ZDB-GENE-000605-1	runx1	0.42	0.42	N/A
1	ZDB-GENE-000616-13	appa	0.42	0.42	N/A
1	ZDB-GENE-030131-4631	ttpa	0.42	0.42	N/A
1	ZDB-GENE-040629-3	runx2a	0.42	0.42	N/A
1	ZDB-GENE-040718-291	polr3k	0.42	0.42	N/A
1	ZDB-GENE-040801-77	tuba8l3	0.42	0.42	N/A
1	ZDB-GENE-041221-2	prnprs1	0.42	0.42	N/A
1	ZDB-GENE-051018-1	ahrra	0.42	0.42	N/A
1	ZDB-GENE-070117-1025	unm_t30460	0.42	0.42	N/A
1	ZDB-GENE-070117-1100	unm_t30632	0.42	0.42	N/A
1	ZDB-GENE-070117-1336	unm_t30630	0.42	0.42	N/A
1	ZDB-GENE-070117-1390	unm_t30755	0.42	0.42	N/A
1	ZDB-GENE-070117-1435	unm_t30741	0.42	0.42	N/A
1	ZDB-GENE-070117-1437	unm_t30838	0.42	0.42	N/A
1	ZDB-GENE-070117-1438	unm_t30864	0.42	0.42	N/A
1	ZDB-GENE-070117-1439	unm_t30737	0.42	0.42	N/A
1	ZDB-GENE-070117-1442	unm_t30440	0.42	0.42	N/A
1	ZDB-GENE-070117-1503	unm_t30540	0.42	0.42	N/A
1	ZDB-GENE-070117-1888	unm_t31023	0.42	0.42	N/A
1	ZDB-GENE-070117-1889	unm_t31098	0.42	0.42	N/A
1	ZDB-GENE-070117-1891	unm_t31143	0.42	0.42	N/A
1	ZDB-GENE-070117-1893	unm_t31146	0.42	0.42	N/A
1	ZDB-GENE-070117-1895	unm_t31166	0.42	0.42	N/A
1	ZDB-GENE-070117-1897	unm_t31168	0.42	0.42	N/A
1	ZDB-GENE-070117-1905	unm_t31253	0.42	0.42	N/A
1	ZDB-GENE-070117-1906	unm_t31254	0.42	0.42	N/A
1	ZDB-GENE-070117-1907	unm_t31255	0.42	0.42	N/A
1	ZDB-GENE-070117-1908	unm_t31258	0.42	0.42	N/A
1	ZDB-GENE-070117-1913	unm_t31268	0.42	0.42	N/A
1	ZDB-GENE-070117-1918	unm_t31536	0.42	0.42	N/A
1	ZDB-GENE-070117-955	unm_t30779	0.42	0.42	N/A
1	ZDB-GENE-070117-956	unm_t30625	0.42	0.42	N/A
1	ZDB-GENE-070117-958	unm_t30726	0.42	0.42	N/A
1	ZDB-GENE-070117-961	unm_t30778	0.42	0.42	N/A
1	ZDB-GENE-091026-6	mir126b	0.42	0.42	N/A
4	ZDB-GENE-001106-1	wnt3a	0.42	0.4	N/A
4	ZDB-GENE-040426-2889	crip2	0.42	0.4	N/A
4	ZDB-GENE-090929-156	mir145	0.42	0.4	N/A
1	ZDB-GENE-070117-2200	mtc	0.42	0.39	N/A
1	ZDB-GENE-070117-2398	sto	0.42	0.39	N/A
1	ZDB-GENE-070117-521	unm_ti205	0.42	0.39	N/A
1	ZDB-GENE-070117-920	unm_t30926	0.42	0.39	N/A
1	ZDB-GENE-070117-94	csm	0.42	0.39	N/A
1	ZDB-GENE-990415-206	pes	0.42	0.39	N/A
2	ZDB-GENE-030131-2201	bhlha9	0.42	0.39	N/A
2	ZDB-GENE-070117-2200	mtc	0.42	0.39	N/A
2	ZDB-GENE-070117-2423	med10	0.42	0.39	N/A
2	ZDB-GENE-070117-920	unm_t30926	0.42	0.39	N/A
2	ZDB-GENE-070117-94	csm	0.42	0.39	N/A
2	ZDB-GENE-990415-206	pes	0.42	0.39	N/A
4	ZDB-GENE-020122-5	pknox1.1	0.42	0.36	N/A
4	ZDB-GENE-030918-2	pdgfaa	0.42	0.36	N/A
4	ZDB-GENE-040426-2435	leo1	0.42	0.36	N/A
4	ZDB-GENE-060117-5	fgf20b	0.42	0.36	N/A
4	ZDB-GENE-070117-204	unm_tq235b	0.42	0.36	N/A
4	ZDB-GENE-070117-2346	ser	0.42	0.36	N/A
4	ZDB-GENE-990415-238	rx3	0.42	0.36	N/A
1	ZDB-GENE-040426-2833	stxbp3	0.42	0.34	N/A
1	ZDB-GENE-040709-1	otomp	0.42	0.34	N/A
1	ZDB-GENE-040801-205	socs1a	0.42	0.34	N/A
1	ZDB-GENE-070117-1997	clx	0.42	0.34	N/A
1	ZDB-GENE-070117-2033	eps	0.42	0.34	N/A
1	ZDB-GENE-070117-2106	hsd	0.42	0.34	N/A
1	ZDB-GENE-070117-2109	hos	0.42	0.34	N/A
1	ZDB-GENE-070117-2210	miz	0.42	0.34	N/A
1	ZDB-GENE-070117-2232	nob	0.42	0.34	N/A
1	ZDB-GENE-070117-2261	pgu	0.42	0.34	N/A
1	ZDB-GENE-070117-2286	pkt	0.42	0.34	N/A
1	ZDB-GENE-070117-2287	puz	0.42	0.34	N/A
1	ZDB-GENE-070117-2328	sah	0.42	0.34	N/A
1	ZDB-GENE-070117-2365	bch	0.42	0.34	N/A
1	ZDB-GENE-070117-2387	spok	0.42	0.34	N/A
1	ZDB-GENE-070117-2400	stw	0.42	0.34	N/A
1	ZDB-GENE-070117-2404	sed	0.42	0.34	N/A
1	ZDB-GENE-070117-2466	wei	0.42	0.34	N/A
1	ZDB-GENE-070117-2467	wup	0.42	0.34	N/A
1	ZDB-GENE-070427-10	peb	0.42	0.34	N/A
1	ZDB-GENE-070427-11	cod	0.42	0.34	N/A
1	ZDB-GENE-070427-4	pno	0.42	0.34	N/A
1	ZDB-GENE-070427-9	ter	0.42	0.34	N/A
1	ZDB-GENE-070725-4	jak3	0.42	0.34	N/A
1	ZDB-GENE-071212-2	top3a	0.42	0.34	N/A
1	ZDB-GENE-080110-7	il7r	0.42	0.34	N/A
1	ZDB-GENE-980526-142	jak1	0.42	0.34	N/A
